Strain	Code
HF675086	HF675086
HF675087	HF675087
HF675088	HF675088
HF675089	HF675089
HF675090	HF675090
HF675091	HF675091
HF675092	HF675092
HF675093	HF675093
HF675094	HF675094
HF675095	HF675095
HF675096	HF675096
HF675097	HF675097
HF675098	HF675098
HF675099	HF675099
HF675100	HF675100
HF675101	HF675101
HF675102	HF675102
rsys_TCC442-Rbcl-1_@speed-ID	rsys_TCC442-Rbcl-1_@speed-ID
rsys_TCC443-Rbcl-1_@speed-ID	rsys_TCC443-Rbcl-1_@speed-ID
rsys_TCC444-Rbcl-1_@speed-ID	rsys_TCC444-Rbcl-1_@speed-ID
rsys_TCC474-Rbcl-1_@speed-ID	rsys_TCC474-Rbcl-1_@speed-ID
rsys_TCC481-Rbcl-1_@speed-ID	rsys_TCC481-Rbcl-1_@speed-ID
rsys_TCC487-Rbcl-1_onema	rsys_TCC487-Rbcl-1_onema
rsys_TCC488-Rbcl-1_@speed-ID	rsys_TCC488-Rbcl-1_@speed-ID
rsys_TCC489-Rbcl-1_onema	rsys_TCC489-Rbcl-1_onema
rsys_TCC498-Rbcl-1_@speed-ID	rsys_TCC498-Rbcl-1_@speed-ID
rsys_TCC510-Rbcl-1_onema	rsys_TCC510-Rbcl-1_onema
rsys_TCC571-Rbcl-1_onema	rsys_TCC571-Rbcl-1_onema
rsys_TCC574-Rbcl-1_@speed-ID	rsys_TCC574-Rbcl-1_@speed-ID
rsys_HQ337560_Base-NCBI	rsys_HQ337560_Base-NCBI
787	787
FN557033	FN557033
rsys_KM999113_Base-NCBI	rsys_KM999113_Base-NCBI
rsys_TCC575-Rbcl-1_@speed-ID	rsys_TCC575-Rbcl-1_@speed-ID
HF675062	HF675062
rsys_TCC700-Rbcl-1_@speed-ID	rsys_TCC700-Rbcl-1_@speed-ID
HQ912453	HQ912453
rsys_KP400290_Base-NCBI	rsys_KP400290_Base-NCBI
rsys_HQ337559_Base-NCBI	rsys_HQ337559_Base-NCBI
rsys_TCC516-Rbcl-1_@speed-ID	rsys_TCC516-Rbcl-1_@speed-ID
HF675119	HF675119
rsys_TCC586-Rbcl-1_@speed-ID	rsys_TCC586-Rbcl-1_@speed-ID
rsys_TCC894-Rbcl-1_Sequencage_TCC	rsys_TCC894-Rbcl-1_Sequencage_TCC
rsys_TCC898-Rbcl-1_Sequencage_TCC	rsys_TCC898-Rbcl-1_Sequencage_TCC
333	333
HF675108	HF675108
HF675109	HF675109
HF675110	HF675110
rsys_TCC900-Rbcl-1_Sequencage_TCC	rsys_TCC900-Rbcl-1_Sequencage_TCC
501	501
rsys_TCC606-Rbcl-1_@speed-ID	rsys_TCC606-Rbcl-1_@speed-ID
rsys_TCC944-rbcl-1_onema	rsys_TCC944-rbcl-1_onema
76	76
822	822
rsys_EU090049_Base-NCBI	rsys_EU090049_Base-NCBI
rsys_HQ337574_Base-NCBI	rsys_HQ337574_Base-NCBI
rsys_HQ337577_Base-NCBI	rsys_HQ337577_Base-NCBI
rsys_HQ337578_Base-NCBI	rsys_HQ337578_Base-NCBI
rsys_HQ337579_Base-NCBI	rsys_HQ337579_Base-NCBI
rsys_HQ337580_Base-NCBI	rsys_HQ337580_Base-NCBI
rsys_HQ337581_Base-NCBI	rsys_HQ337581_Base-NCBI
rsys_HQ337582_Base-NCBI	rsys_HQ337582_Base-NCBI
rsys_HQ337583_Base-NCBI	rsys_HQ337583_Base-NCBI
rsys_HQ337584_Base-NCBI	rsys_HQ337584_Base-NCBI
rsys_JN162795_Base-NCBI	rsys_JN162795_Base-NCBI
rsys_JN162796_Base-NCBI	rsys_JN162796_Base-NCBI
rsys_JN162797_Base-NCBI	rsys_JN162797_Base-NCBI
rsys_JN162798_Base-NCBI	rsys_JN162798_Base-NCBI
rsys_TCC576-Rbcl-1_@speed-ID	rsys_TCC576-Rbcl-1_@speed-ID
rsys_TCC632-Rbcl-1_@speed-ID	rsys_TCC632-Rbcl-1_@speed-ID
rsys_TCC707-Rbcl-1_@speed-ID	rsys_TCC707-Rbcl-1_@speed-ID
HF675116	HF675116
rsys_HQ337568_Base-NCBI	rsys_HQ337568_Base-NCBI
rsys_JN162794_Base-NCBI	rsys_JN162794_Base-NCBI
330	330
332	332
gHF675111	gHF675111
gHF675112	gHF675112
gHF675113	gHF675113
gHF675114	gHF675114
gHF675115	gHF675115
HF675111	HF675111
HF675112	HF675112
HF675113	HF675113
HF675114	HF675114
HF675115	HF675115
HF675061	HF675061
HF675063	HF675063
rsys_KP400286_Base-NCBI	rsys_KP400286_Base-NCBI
AB430696	AB430696
rsys_AY881967_Base-NCBI	rsys_AY881967_Base-NCBI
rsys_HQ337561_Base-NCBI	rsys_HQ337561_Base-NCBI
rsys_KC954572_Base-NCBI	rsys_KC954572_Base-NCBI
rsys_AF195952_Base-NCBI	rsys_AF195952_Base-NCBI
rsys_HQ912420_Base-NCBI	rsys_HQ912420_Base-NCBI
rsys_KP400293_Base-NCBI	rsys_KP400293_Base-NCBI
rsys_DQ408162_Base-NCBI	rsys_DQ408162_Base-NCBI
rsys_AF097166_Base-NCBI	rsys_AF097166_Base-NCBI
GU192437	GU192437
JQ315485	JQ315485
JQ394814	JQ394814
KC810299	KC810299
EF113407	EF113407
EF113415	EF113415
EF113418	EF113418
DQ196177	DQ196177
AB511846	AB511846
KF975597	KF975597
JX841225	JX841225
HE860265	HE860265
KC810301	KC810301
KC810302	KC810302
JQ713935	JQ713935
JQ713926	JQ713926
GU192427	GU192427
KF975599	KF975599
JN573860	JN573860
JN573830	JN573830
EF113437	EF113437
EF113448	EF113448
EF113450	EF113450
KC145515	KC145515
JQ394813	JQ394813
DQ481212	DQ481212
DQ481204	DQ481204
DQ481206	DQ481206
DQ481213	DQ481213
D86837	D86837
EF078370	EF078370
EF078393	EF078393
JN880463	JN880463
JN880465	JN880465
EF113466	EF113466
AB084332	AB084332
KF975603	KF975603
EF113477	EF113477
rsys_EF165158_Base-NCBI	rsys_EF165158_Base-NCBI
rsys_AY119780_Base-NCBI	rsys_AY119780_Base-NCBI
KC134346	KC134346
DQ393128	DQ393128
GU810834	GU810834
KC596166	KC596166
KC810316	KC810316
EF589154	EF589154
HF674884	HF674884
EF113451	EF113451
JQ713936	JQ713936
AB383150	AB383150
JF502540	JF502540
KF693813	KF693813
EF113475	EF113475
EF589147	EF589147
KF693820	KF693820
JN102134	JN102134
rsys_AF499683_Base-NCBI	rsys_AF499683_Base-NCBI
FJ715715	FJ715715
KM226206	KM226206
U43070	U43070
FM992353	FM992353
rsys_AB430683_Base-NCBI	rsys_AB430683_Base-NCBI
rsys_KR048218_Base-NCBI	rsys_KR048218_Base-NCBI
EF143287	EF143287
rsys_HQ912437_Base-NCBI	rsys_HQ912437_Base-NCBI
818	818
KJ577903	KJ577903
104	104
rsys_KJ577905_Base-NCBI	rsys_KJ577905_Base-NCBI
rsys_AY571757_Base-NCBI	rsys_AY571757_Base-NCBI
EF143304	EF143304
rsys_AM710461_Base-NCBI	rsys_AM710461_Base-NCBI
rsys_AM710491_Base-NCBI	rsys_AM710491_Base-NCBI
KM350020	KM350020
KM350021	KM350021
rsys_AM710490_Base-NCBI	rsys_AM710490_Base-NCBI
KM350034	KM350034
rsys_JN418638_Base-NCBI	rsys_JN418638_Base-NCBI
190	190
269	269
458	458
rsys_AM710447_Base-NCBI	rsys_AM710447_Base-NCBI
rsys_AM710448_Base-NCBI	rsys_AM710448_Base-NCBI
rsys_AM710449_Base-NCBI	rsys_AM710449_Base-NCBI
rsys_AM710450_Base-NCBI	rsys_AM710450_Base-NCBI
rsys_TCC497-Rbcl-1_@speed-ID	rsys_TCC497-Rbcl-1_@speed-ID
rsys_JN418640_Base-NCBI	rsys_JN418640_Base-NCBI
rsys_JN418662_Base-NCBI	rsys_JN418662_Base-NCBI
rsys_JN418671_Base-NCBI	rsys_JN418671_Base-NCBI
105	105
111	111
159	159
212	212
rsys_AM710445_Base-NCBI	rsys_AM710445_Base-NCBI
rsys_JN418649_Base-NCBI	rsys_JN418649_Base-NCBI
KM350019	KM350019
KM350022	KM350022
HQ912468	HQ912468
rsys_AM710458_Base-NCBI	rsys_AM710458_Base-NCBI
HQ912465	HQ912465
122	122
126	126
785	785
rsys_JN418642_Base-NCBI	rsys_JN418642_Base-NCBI
rsys_JN418646_Base-NCBI	rsys_JN418646_Base-NCBI
rsys_JN418647_Base-NCBI	rsys_JN418647_Base-NCBI
rsys_JN418648_Base-NCBI	rsys_JN418648_Base-NCBI
rsys_JN418650_Base-NCBI	rsys_JN418650_Base-NCBI
rsys_JN418651_Base-NCBI	rsys_JN418651_Base-NCBI
rsys_JN418652_Base-NCBI	rsys_JN418652_Base-NCBI
rsys_JN418653_Base-NCBI	rsys_JN418653_Base-NCBI
rsys_JN418656_Base-NCBI	rsys_JN418656_Base-NCBI
rsys_JN418660_Base-NCBI	rsys_JN418660_Base-NCBI
rsys_JN418665_Base-NCBI	rsys_JN418665_Base-NCBI
rsys_JN418673_Base-NCBI	rsys_JN418673_Base-NCBI
rsys_KM084990_Base-NCBI	rsys_KM084990_Base-NCBI
57	57
KM349987	KM349987
rsys_JN418658_Base-NCBI	rsys_JN418658_Base-NCBI
758	758
KM084987	KM084987
KM084989	KM084989
KM349974	KM349974
KM349975	KM349975
KM349983	KM349983
KM349997	KM349997
KM350014	KM350014
rsys_JN418641_Base-NCBI	rsys_JN418641_Base-NCBI
rsys_JN418655_Base-NCBI	rsys_JN418655_Base-NCBI
KM349970	KM349970
KM350023	KM350023
KM350027	KM350027
rsys_AM710488_Base-NCBI	rsys_AM710488_Base-NCBI
rsys_JN418672_Base-NCBI	rsys_JN418672_Base-NCBI
rsys_TCC472-Rbcl-1_@speed-ID	rsys_TCC472-Rbcl-1_@speed-ID
KM350000	KM350000
rsys_JN418664_Base-NCBI	rsys_JN418664_Base-NCBI
KM350025	KM350025
KM350026	KM350026
KM349982	KM349982
KM349985	KM349985
KM349988	KM349988
KM350001	KM350001
rsys_JN418661_Base-NCBI	rsys_JN418661_Base-NCBI
KM349995	KM349995
KM350008	KM350008
KM350050	KM350050
KM349994	KM349994
KM350007	KM350007
KM350010	KM350010
KM350012	KM350012
rsys_JN418654_Base-NCBI	rsys_JN418654_Base-NCBI
KM349971	KM349971
KM349977	KM349977
rsys_TCC608-Rbcl-1_onema	rsys_TCC608-Rbcl-1_onema
rsys_TCC616-Rbcl-1_@speed-ID	rsys_TCC616-Rbcl-1_@speed-ID
KM350037	KM350037
KM350038	KM350038
KM084981	KM084981
KM084988	KM084988
KM349973	KM349973
KM349976	KM349976
rsys_AM710451_Base-NCBI	rsys_AM710451_Base-NCBI
rsys_JN418644_Base-NCBI	rsys_JN418644_Base-NCBI
rsys_JN418659_Base-NCBI	rsys_JN418659_Base-NCBI
rsys_JN418657_Base-NCBI	rsys_JN418657_Base-NCBI
rsys_TCC879-Rbcl-1_Sequencage_TCC	rsys_TCC879-Rbcl-1_Sequencage_TCC
rsys_TCC883-Rbcl-1_Sequencage_TCC	rsys_TCC883-Rbcl-1_Sequencage_TCC
rsys_JN418668_Base-NCBI	rsys_JN418668_Base-NCBI
rsys_TCC701-Rbcl-1_@speed-ID	rsys_TCC701-Rbcl-1_@speed-ID
rsys_TCC884-Rbcl-1_Sequencage_TCC	rsys_TCC884-Rbcl-1_Sequencage_TCC
rsys_AM710503_Base-NCBI	rsys_AM710503_Base-NCBI
rsys_JN418667_Base-NCBI	rsys_JN418667_Base-NCBI
rsys_JN418645_Base-NCBI	rsys_JN418645_Base-NCBI
rsys_JN418643_Base-NCBI	rsys_JN418643_Base-NCBI
rsys_HQ685847_Base-NCBI	rsys_HQ685847_Base-NCBI
KJ011850	KJ011850
rsys_AY571752_Base-NCBI	rsys_AY571752_Base-NCBI
rsys_AB430684_Base-NCBI	rsys_AB430684_Base-NCBI
rsys_KR048220_Base-NCBI	rsys_KR048220_Base-NCBI
KM084938	KM084938
rsys_KM084959_Base-NCBI	rsys_KM084959_Base-NCBI
rsys_HQ912426_Base-NCBI	rsys_HQ912426_Base-NCBI
rsys_AM710492_Base-NCBI	rsys_AM710492_Base-NCBI
645	645
647	647
AB430688	AB430688
rsys_HQ828191_Base-NCBI	rsys_HQ828191_Base-NCBI
rsys_HQ828195_Base-NCBI	rsys_HQ828195_Base-NCBI
rsys_HQ828200_Base-NCBI	rsys_HQ828200_Base-NCBI
rsys_HQ828201_Base-NCBI	rsys_HQ828201_Base-NCBI
KJ658395	KJ658395
rsys_AY571748_Base-NCBI	rsys_AY571748_Base-NCBI
rsys_AB430686_Base-NCBI	rsys_AB430686_Base-NCBI
rsys_KR048219_Base-NCBI	rsys_KR048219_Base-NCBI
718	718
KJ011854	KJ011854
KJ011855	KJ011855
802	802
860	860
rsys_TCC719-Rbcl-1_@speed-ID	rsys_TCC719-Rbcl-1_@speed-ID
rsys_TCC721-Rbcl-1_@speed-ID	rsys_TCC721-Rbcl-1_@speed-ID
rsys_TCC723-Rbcl-1_@speed-ID	rsys_TCC723-Rbcl-1_@speed-ID
HQ912393	HQ912393
rsys_AB430682_Base-NCBI	rsys_AB430682_Base-NCBI
rsys_JX401260_Base-NCBI	rsys_JX401260_Base-NCBI
rsys_JX401261_Base-NCBI	rsys_JX401261_Base-NCBI
rsys_HQ912537_Base-NCBI	rsys_HQ912537_Base-NCBI
rsys_KF701602_Base-NCBI	rsys_KF701602_Base-NCBI
EF143281	EF143281
KJ658396	KJ658396
rsys_KC284708_Base-NCBI	rsys_KC284708_Base-NCBI
rsys_AM710475_Base-NCBI	rsys_AM710475_Base-NCBI
752	752
KM084992	KM084992
rsys_AM710453_Base-NCBI	rsys_AM710453_Base-NCBI
rsys_AM710498_Base-NCBI	rsys_AM710498_Base-NCBI
rsys_AM710456_Base-NCBI	rsys_AM710456_Base-NCBI
rsys_AM710504_Base-NCBI	rsys_AM710504_Base-NCBI
rsys_AM710505_Base-NCBI	rsys_AM710505_Base-NCBI
rsys_FJ002142_Base-NCBI	rsys_FJ002142_Base-NCBI
rsys_HQ912473_Base-NCBI	rsys_HQ912473_Base-NCBI
710	710
EF143267	EF143267
EF143268	EF143268
EF143276	EF143276
EF143277	EF143277
EF143303	EF143303
EF143320	EF143320
KC911803	KC911803
KC911804	KC911804
KC911805	KC911805
EF143282	EF143282
EF143283	EF143283
EF143290	EF143290
EF143310	EF143310
EF143319	EF143319
JN418669	JN418669
EF143305	EF143305
EF143315	EF143315
EF143299	EF143299
rsys_AY571750_Base-NCBI	rsys_AY571750_Base-NCBI
rsys_DQ514813_Base-NCBI	rsys_DQ514813_Base-NCBI
rsys_KR048205_Base-NCBI	rsys_KR048205_Base-NCBI
AY571746	AY571746
EF143264	EF143264
EF143266	EF143266
EF143269	EF143269
EF143270	EF143270
EF143271	EF143271
EF143272	EF143272
EF143275	EF143275
EF143278	EF143278
EF143285	EF143285
EF143291	EF143291
EF143292	EF143292
EF143294	EF143294
EF143296	EF143296
EF143297	EF143297
EF143298	EF143298
EF143300	EF143300
EF143302	EF143302
EF143306	EF143306
EF143308	EF143308
EF143312	EF143312
EF143314	EF143314
EF143317	EF143317
EF143318	EF143318
EF143321	EF143321
KC911806	KC911806
KC911807	KC911807
KC911808	KC911808
KC911809	KC911809
KC911810	KC911810
KC911811	KC911811
KC911812	KC911812
KC911813	KC911813
KC911814	KC911814
KC911815	KC911815
KC911816	KC911816
KM084945	KM084945
KM084958	KM084958
EF143280	EF143280
893	893
KM084937	KM084937
rsys_JQ610174_Base-NCBI	rsys_JQ610174_Base-NCBI
rsys_TCC461-Rbcl-1_@speed-ID	rsys_TCC461-Rbcl-1_@speed-ID
rsys_TCC462-Rbcl-1_@speed-ID	rsys_TCC462-Rbcl-1_@speed-ID
rsys_TCC561-Rbcl-1_@speed-ID	rsys_TCC561-Rbcl-1_@speed-ID
rsys_TCC569-Rbcl-1_@speed-ID	rsys_TCC569-Rbcl-1_@speed-ID
rsys_TCC738-Rbcl-1_@speed-ID	rsys_TCC738-Rbcl-1_@speed-ID
EF143279	EF143279
gEF143279	gEF143279
gKF959642	gKF959642
rsys_AM710427_Base-NCBI	rsys_AM710427_Base-NCBI
rsys_JQ610175_Base-NCBI	rsys_JQ610175_Base-NCBI
rsys_TCC524-Rbcl-1_@speed-ID	rsys_TCC524-Rbcl-1_@speed-ID
rsys_TCC529-Rbcl-1_@speed-ID	rsys_TCC529-Rbcl-1_@speed-ID
rsys_TCC544-Rbcl-1_@speed-ID	rsys_TCC544-Rbcl-1_@speed-ID
rsys_TCC597-Rbcl-1_@speed-ID	rsys_TCC597-Rbcl-1_@speed-ID
rsys_TCC618-Rbcl-1_@speed-ID	rsys_TCC618-Rbcl-1_@speed-ID
rsys_TCC621-Rbcl-1_@speed-ID	rsys_TCC621-Rbcl-1_@speed-ID
rsys_TCC624-Rbcl-1_@speed-ID	rsys_TCC624-Rbcl-1_@speed-ID
rsys_TCC611-Rbcl-1_@speed-ID	rsys_TCC611-Rbcl-1_@speed-ID
HQ912402	HQ912402
DQ514825	DQ514825
gHQ912451	gHQ912451
KM592937	KM592937
rsys_HQ912442_Base-NCBI	rsys_HQ912442_Base-NCBI
rsys_TCC629-Rbcl-1_@speed-ID	rsys_TCC629-Rbcl-1_@speed-ID
rsys_TCC691-Rbcl-1_@speed-ID	rsys_TCC691-Rbcl-1_@speed-ID
451	451
681	681
gHQ828193	gHQ828193
rsys_HQ828193_Base-NCBI	rsys_HQ828193_Base-NCBI
rsys_HQ828196_Base-NCBI	rsys_HQ828196_Base-NCBI
rsys_HQ828197_Base-NCBI	rsys_HQ828197_Base-NCBI
rsys_HQ828198_Base-NCBI	rsys_HQ828198_Base-NCBI
rsys_HQ828199_Base-NCBI	rsys_HQ828199_Base-NCBI
rsys_JN162783_Base-NCBI	rsys_JN162783_Base-NCBI
HQ912484	HQ912484
876	876
DQ514842	DQ514842
rsys_JQ217353_Base-NCBI	rsys_JQ217353_Base-NCBI
DQ514835	DQ514835
DQ514836	DQ514836
rsys_TCC355-Rbcl-1_@speed-ID	rsys_TCC355-Rbcl-1_@speed-ID
DQ514824	DQ514824
DQ514828	DQ514828
DQ514839	DQ514839
DQ514843	DQ514843
DQ514844	DQ514844
DQ514834	DQ514834
rsys_DQ514837_Base-NCBI	rsys_DQ514837_Base-NCBI
rsys_AB430670_Base-NCBI	rsys_AB430670_Base-NCBI
rsys_JQ217354_Base-NCBI	rsys_JQ217354_Base-NCBI
rsys_AM710454_Base-NCBI	rsys_AM710454_Base-NCBI
HQ912443	HQ912443
rsys_KM084967_Base-NCBI	rsys_KM084967_Base-NCBI
rsys_KM084970_Base-NCBI	rsys_KM084970_Base-NCBI
HQ828192	HQ828192
475	475
498	498
508	508
509	509
rsys_AB430680_Base-NCBI	rsys_AB430680_Base-NCBI
rsys_FJ002124_Base-NCBI	rsys_FJ002124_Base-NCBI
JX033016	JX033016
DQ514823	DQ514823
DQ514838	DQ514838
604	604
709	709
768	768
JX033020	JX033020
rsys_TCC711-Rbcl-1_@speed-ID	rsys_TCC711-Rbcl-1_@speed-ID
JX033019	JX033019
JX033009	JX033009
JX033006	JX033006
JX032972	JX032972
JX032973	JX032973
JX032983	JX032983
JX033003	JX033003
JX033012	JX033012
rsys_KP400291_Base-NCBI	rsys_KP400291_Base-NCBI
rsys_KP400292_Base-NCBI	rsys_KP400292_Base-NCBI
JX032966	JX032966
JX033000	JX033000
290	290
304	304
320	320
541	541
655	655
816	816
843	843
JX032979	JX032979
JX032985	JX032985
JX032988	JX032988
JX032989	JX032989
JX032994	JX032994
JX032999	JX032999
rsys_HQ912400_Base-NCBI	rsys_HQ912400_Base-NCBI
rsys_JX032960_Base-NCBI	rsys_JX032960_Base-NCBI
rsys_JX032961_Base-NCBI	rsys_JX032961_Base-NCBI
rsys_JX032967_Base-NCBI	rsys_JX032967_Base-NCBI
rsys_JX032968_Base-NCBI	rsys_JX032968_Base-NCBI
rsys_JX032974_Base-NCBI	rsys_JX032974_Base-NCBI
rsys_JX032976_Base-NCBI	rsys_JX032976_Base-NCBI
rsys_JX032977_Base-NCBI	rsys_JX032977_Base-NCBI
rsys_JX032991_Base-NCBI	rsys_JX032991_Base-NCBI
rsys_JX032992_Base-NCBI	rsys_JX032992_Base-NCBI
rsys_JX032993_Base-NCBI	rsys_JX032993_Base-NCBI
rsys_JX032996_Base-NCBI	rsys_JX032996_Base-NCBI
rsys_JX033004_Base-NCBI	rsys_JX033004_Base-NCBI
rsys_JX033005_Base-NCBI	rsys_JX033005_Base-NCBI
rsys_JX033007_Base-NCBI	rsys_JX033007_Base-NCBI
rsys_JX033008_Base-NCBI	rsys_JX033008_Base-NCBI
rsys_JX033011_Base-NCBI	rsys_JX033011_Base-NCBI
rsys_JX033013_Base-NCBI	rsys_JX033013_Base-NCBI
rsys_JX033014_Base-NCBI	rsys_JX033014_Base-NCBI
rsys_JX033015_Base-NCBI	rsys_JX033015_Base-NCBI
rsys_JX033022_Base-NCBI	rsys_JX033022_Base-NCBI
rsys_JX033023_Base-NCBI	rsys_JX033023_Base-NCBI
JX033010	JX033010
JX032949	JX032949
JX032955	JX032955
JX032956	JX032956
JX032963	JX032963
JX032959	JX032959
HQ912401	HQ912401
JX032965	JX032965
JX032970	JX032970
JX032971	JX032971
JX032975	JX032975
JX032981	JX032981
JX032982	JX032982
JX032987	JX032987
JX032990	JX032990
JX032995	JX032995
HQ912480	HQ912480
rsys_FJ002123_Base-NCBI	rsys_FJ002123_Base-NCBI
rsys_JX413565_Base-NCBI	rsys_JX413565_Base-NCBI
107	107
13	13
136	136
146	146
189	189
252	252
257	257
614	614
HQ912448	HQ912448
HQ912479	HQ912479
rsys_FJ002156_Base-NCBI	rsys_FJ002156_Base-NCBI
AB430690	AB430690
rsys_KJ577910_Base-NCBI	rsys_KJ577910_Base-NCBI
HQ912464	HQ912464
HF675117	HF675117
rsys_DQ514788_Base-NCBI	rsys_DQ514788_Base-NCBI
rsys_FJ002106_Base-NCBI	rsys_FJ002106_Base-NCBI
rsys_DQ514797_Base-NCBI	rsys_DQ514797_Base-NCBI
rsys_DQ514798_Base-NCBI	rsys_DQ514798_Base-NCBI
rsys_DQ514803_Base-NCBI	rsys_DQ514803_Base-NCBI
rsys_DQ514809_Base-NCBI	rsys_DQ514809_Base-NCBI
rsys_AB018007_Base-NCBI	rsys_AB018007_Base-NCBI
rsys_DQ514808_Base-NCBI	rsys_DQ514808_Base-NCBI
rsys_DQ514791_Base-NCBI	rsys_DQ514791_Base-NCBI
rsys_KC284709_Base-NCBI	rsys_KC284709_Base-NCBI
rsys_AF109210_Base-NCBI	rsys_AF109210_Base-NCBI
rsys_DQ514783_Base-NCBI	rsys_DQ514783_Base-NCBI
rsys_DQ514784_Base-NCBI	rsys_DQ514784_Base-NCBI
rsys_DQ514801_Base-NCBI	rsys_DQ514801_Base-NCBI
rsys_HF565117_Base-NCBI	rsys_HF565117_Base-NCBI
rsys_HF565118_Base-NCBI	rsys_HF565118_Base-NCBI
rsys_HF565119_Base-NCBI	rsys_HF565119_Base-NCBI
rsys_HF565120_Base-NCBI	rsys_HF565120_Base-NCBI
rsys_HF565121_Base-NCBI	rsys_HF565121_Base-NCBI
rsys_HF565122_Base-NCBI	rsys_HF565122_Base-NCBI
rsys_HF565123_Base-NCBI	rsys_HF565123_Base-NCBI
rsys_HF565124_Base-NCBI	rsys_HF565124_Base-NCBI
rsys_HF565125_Base-NCBI	rsys_HF565125_Base-NCBI
rsys_HF565126_Base-NCBI	rsys_HF565126_Base-NCBI
rsys_HQ912419_Base-NCBI	rsys_HQ912419_Base-NCBI
rsys_DQ514786_Base-NCBI	rsys_DQ514786_Base-NCBI
rsys_HQ710594_Base-NCBI	rsys_HQ710594_Base-NCBI
rsys_DQ514806_Base-NCBI	rsys_DQ514806_Base-NCBI
rsys_DQ514802_Base-NCBI	rsys_DQ514802_Base-NCBI
rsys_FJ002112_Base-NCBI	rsys_FJ002112_Base-NCBI
302	302
530	530
883	883
DQ514807	DQ514807
DQ514815	DQ514815
rsys_FJ002111_Base-NCBI	rsys_FJ002111_Base-NCBI
rsys_JN162828_Base-NCBI	rsys_JN162828_Base-NCBI
rsys_JQ217356_Base-NCBI	rsys_JQ217356_Base-NCBI
rsys_KC802088_Base-NCBI	rsys_KC802088_Base-NCBI
rsys_DQ514795_Base-NCBI	rsys_DQ514795_Base-NCBI
rsys_DQ514794_Base-NCBI	rsys_DQ514794_Base-NCBI
rsys_DQ514810_Base-NCBI	rsys_DQ514810_Base-NCBI
rsys_DQ514787_Base-NCBI	rsys_DQ514787_Base-NCBI
rsys_DQ514805_Base-NCBI	rsys_DQ514805_Base-NCBI
rsys_DQ514789_Base-NCBI	rsys_DQ514789_Base-NCBI
rsys_JQ217355_Base-NCBI	rsys_JQ217355_Base-NCBI
rsys_DQ514804_Base-NCBI	rsys_DQ514804_Base-NCBI
rsys_DQ514812_Base-NCBI	rsys_DQ514812_Base-NCBI
rsys_DQ514799_Base-NCBI	rsys_DQ514799_Base-NCBI
rsys_DQ514785_Base-NCBI	rsys_DQ514785_Base-NCBI
rsys_DQ514790_Base-NCBI	rsys_DQ514790_Base-NCBI
rsys_DQ514796_Base-NCBI	rsys_DQ514796_Base-NCBI
rsys_HQ912518_Base-NCBI	rsys_HQ912518_Base-NCBI
rsys_HQ912526_Base-NCBI	rsys_HQ912526_Base-NCBI
rsys_JN162827_Base-NCBI	rsys_JN162827_Base-NCBI
24	24
33	33
651	651
668	668
706	706
rsys_TCC134-Rbcl-1_@speed-ID	rsys_TCC134-Rbcl-1_@speed-ID
rsys_TCC584-Rbcl-1_onema	rsys_TCC584-Rbcl-1_onema
rsys_TCC635-Rbcl-1_@speed-ID	rsys_TCC635-Rbcl-1_@speed-ID
220	220
344	344
358	358
61	61
657	657
665	665
698	698
702	702
720	720
836	836
881	881
91	91
HQ912454	HQ912454
rsys_TCC306-Rbcl-1_@speed-ID	rsys_TCC306-Rbcl-1_@speed-ID
rsys_TCC520-Rbcl-1_@speed-ID	rsys_TCC520-Rbcl-1_@speed-ID
rsys_TCC522-Rbcl-1_@speed-ID	rsys_TCC522-Rbcl-1_@speed-ID
rsys_TCC626-Rbcl-1_onema	rsys_TCC626-Rbcl-1_onema
rsys_TCC633-Rbcl-1_@speed-ID	rsys_TCC633-Rbcl-1_@speed-ID
rsys_TCC634-Rbcl-1_@speed-ID	rsys_TCC634-Rbcl-1_@speed-ID
rsys_TCC654-Rbcl-1_@speed-ID	rsys_TCC654-Rbcl-1_@speed-ID
rsys_TCC656-Rbcl-1_@speed-ID	rsys_TCC656-Rbcl-1_@speed-ID
rsys_TCC670-Rbcl-1_@speed-ID	rsys_TCC670-Rbcl-1_@speed-ID
rsys_TCC695-Rbcl-1_@speed-ID	rsys_TCC695-Rbcl-1_@speed-ID
rsys_TCC699-Rbcl-1_@speed-ID	rsys_TCC699-Rbcl-1_@speed-ID
rsys_TCC716-Rbcl-1_@speed-ID	rsys_TCC716-Rbcl-1_@speed-ID
rsys_HM627328_Base-NCBI	rsys_HM627328_Base-NCBI
rsys_HM627329_Base-NCBI	rsys_HM627329_Base-NCBI
nAB266740	nAB266740
nAB280609	nAB280609
nAB280612	nAB280612
nAF015587	nAF015587
nAF015588	nAF015588
nAF015589	nAF015589
nAF064743	nAF064743
nAF064744	nAF064744
nAF084610	nAF084610
nAF084611	nAF084611
nAF084612	nAF084612
nAF207527	nAF207527
nAF465706	nAF465706
nAF465707	nAF465707
nAF465708	nAF465708
nAF465709	nAF465709
nAF476927	nAF476927
nAF476928	nAF476928
nAF476929	nAF476929
nAF476930	nAF476930
nAF476931	nAF476931
nAF476932	nAF476932
nAF476933	nAF476933
nAF476934	nAF476934
nAF476935	nAF476935
nAF476936	nAF476936
nAF476937	nAF476937
nAF476938	nAF476938
nAF476939	nAF476939
